,O,C,E,A,N,Cluster
385,8.6,7.2,4.999999999999999,6.999999999999998,6.800000000000001,1
386,8.399999999999999,8.6,5.0,6.3999999999999995,2.8,3
387,8.799999999999999,7.6,7.4,9.0,5.200000000000001,4
388,6.600000000000001,6.800000000000001,4.4,8.4,7.799999999999999,0
389,7.199999999999999,7.2,5.6,7.0,3.400000000000001,3
390,10.0,7.3999999999999995,5.4,5.4,7.0,3
391,9.399999999999999,6.399999999999999,9.2,8.6,7.8,2
392,7.8,6.6,4.6000000000000005,8.999999999999998,8.2,0
393,7.600000000000001,5.200000000000001,4.800000000000001,9.2,3.8000000000000003,1
394,8.200000000000001,7.3999999999999995,5.6,9.2,8.0,2
395,8.600000000000001,7.199999999999999,6.799999999999999,8.6,5.000000000000001,4
396,9.0,8.2,6.6,8.0,6.799999999999999,1
397,6.0,6.799999999999999,7.6,8.2,6.4,2
398,7.3999999999999995,7.799999999999999,5.6,7.799999999999999,5.6,1
399,9.200000000000001,8.799999999999999,5.0,8.200000000000001,6.0,1
400,7.199999999999999,5.999999999999999,8.4,9.4,4.199999999999999,4
401,7.0,5.6,4.199999999999999,7.3999999999999995,9.0,0
402,6.8,8.8,6.0,6.4,6.199999999999999,1
403,8.4,8.2,7.999999999999999,3.6,4.6000000000000005,3
404,8.600000000000001,5.999999999999999,5.6,8.4,4.800000000000001,1
405,7.399999999999999,7.399999999999999,7.6,7.6,6.6,2
406,5.4,5.8,3.3999999999999995,3.1999999999999997,3.0,3
407,9.0,6.800000000000001,4.8,8.399999999999999,6.2,1
408,6.8,7.3999999999999995,3.3999999999999995,6.3999999999999995,5.400000000000001,3
409,7.8,5.6,8.4,6.999999999999999,5.0,2
410,6.199999999999999,5.800000000000001,3.2,5.6,7.0,0
411,6.8,7.4,2.1999999999999997,5.2,7.0,0
412,5.2,6.799999999999999,6.199999999999999,7.199999999999999,7.799999999999998,0
413,7.0,4.000000000000001,3.999999999999999,8.4,5.800000000000001,0
414,9.4,5.6,4.0,7.999999999999998,4.4,3
